policy,schd_time,sensors,start_soc,end_soc,exed,exe_time,priority,info
ES-Adap,2017-06-12 00:00:00,"['tm1', 'ec1', 'ph1', 'orp1']",2000.0,1850.0,True,2017-06-12 00:00:01,"{'tm1': {'consum': 20, 'ideal_interval': 1, 'last_used_time': '2017-06-12T00:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'ec1': {'consum': 20, 'ideal_interval': 2, 'last_used_time': '2017-06-12T00:00:00', 'time_gap': 1.0, 'priority': 0.5}, 'ph1': {'consum': 40, 'ideal_interval': 1, 'last_used_time': '2017-06-12T00:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'orp1': {'consum': 40, 'ideal_interval': 2, 'last_used_time': '2017-06-12T00:00:00', 'time_gap': 1.0, 'priority': 0.5}}",[]
ES-Adap,2017-06-12 01:00:00,"['tm1', 'ec1', 'ph1', 'orp1']",1847.2222222222224,1697.2222222222222,True,2017-06-12 01:00:01,"{'tm1': {'consum': 20, 'ideal_interval': 1, 'last_used_time': '2017-06-12T01:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'ec1': {'consum': 20, 'ideal_interval': 2, 'last_used_time': '2017-06-12T01:00:00', 'time_gap': 1.0, 'priority': 0.5}, 'ph1': {'consum': 40, 'ideal_interval': 1, 'last_used_time': '2017-06-12T01:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'orp1': {'consum': 40, 'ideal_interval': 2, 'last_used_time': '2017-06-12T01:00:00', 'time_gap': 1.0, 'priority': 0.5}}",[]
ES-Adap,2017-06-12 02:00:00,"['tm1', 'ec1', 'ph1', 'orp1']",1694.4444444444443,1544.4444444444443,True,2017-06-12 02:00:01,"{'tm1': {'consum': 20, 'ideal_interval': 1, 'last_used_time': '2017-06-12T02:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'ec1': {'consum': 20, 'ideal_interval': 2, 'last_used_time': '2017-06-12T02:00:00', 'time_gap': 1.0, 'priority': 0.5}, 'ph1': {'consum': 40, 'ideal_interval': 1, 'last_used_time': '2017-06-12T02:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'orp1': {'consum': 40, 'ideal_interval': 2, 'last_used_time': '2017-06-12T02:00:00', 'time_gap': 1.0, 'priority': 0.5}}",[]
ES-Adap,2017-06-12 04:00:00,"['tm1', 'ec1', 'ph1', 'orp1']",1538.8888888888887,1388.8888888888887,True,2017-06-12 04:00:01,"{'tm1': {'consum': 20, 'ideal_interval': 1, 'last_used_time': '2017-06-12T04:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'ec1': {'consum': 20, 'ideal_interval': 2, 'last_used_time': '2017-06-12T04:00:00', 'time_gap': 1.0, 'priority': 0.5}, 'ph1': {'consum': 40, 'ideal_interval': 1, 'last_used_time': '2017-06-12T04:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'orp1': {'consum': 40, 'ideal_interval': 2, 'last_used_time': '2017-06-12T04:00:00', 'time_gap': 1.0, 'priority': 0.5}}",[]
ES-Adap,2017-06-12 06:00:00,"['tm1', 'ec1', 'ph1', 'orp1']",1385.9469594999996,1235.9469594999996,True,2017-06-12 06:00:01,"{'tm1': {'consum': 20, 'ideal_interval': 1, 'last_used_time': '2017-06-12T06:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'ec1': {'consum': 20, 'ideal_interval': 2, 'last_used_time': '2017-06-12T06:00:00', 'time_gap': 1.0, 'priority': 0.5}, 'ph1': {'consum': 40, 'ideal_interval': 1, 'last_used_time': '2017-06-12T06:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'orp1': {'consum': 40, 'ideal_interval': 2, 'last_used_time': '2017-06-12T06:00:00', 'time_gap': 1.0, 'priority': 0.5}}",[]
ES-Adap,2017-06-12 08:00:00,"['tm1', 'ec1', 'ph1', 'orp1']",1275.6083589444438,1125.6083589444438,True,2017-06-12 08:00:01,"{'tm1': {'consum': 20, 'ideal_interval': 1, 'last_used_time': '2017-06-12T08:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'ec1': {'consum': 20, 'ideal_interval': 2, 'last_used_time': '2017-06-12T08:00:00', 'time_gap': 1.0, 'priority': 0.5}, 'ph1': {'consum': 40, 'ideal_interval': 1, 'last_used_time': '2017-06-12T08:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'orp1': {'consum': 40, 'ideal_interval': 2, 'last_used_time': '2017-06-12T08:00:00', 'time_gap': 1.0, 'priority': 0.5}}",[]
ES-Adap,2017-06-12 12:00:00,"['tm1', 'ec1', 'ph1', 'orp1']",1446.925181166666,1296.925181166666,True,2017-06-12 12:00:01,"{'tm1': {'consum': 20, 'ideal_interval': 1, 'last_used_time': '2017-06-12T12:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'ec1': {'consum': 20, 'ideal_interval': 2, 'last_used_time': '2017-06-12T12:00:00', 'time_gap': 1.0, 'priority': 0.5}, 'ph1': {'consum': 40, 'ideal_interval': 1, 'last_used_time': '2017-06-12T12:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'orp1': {'consum': 40, 'ideal_interval': 2, 'last_used_time': '2017-06-12T12:00:00', 'time_gap': 1.0, 'priority': 0.5}}",[]
ES-Adap,2017-06-12 14:00:00,"['tm1', 'ec1', 'ph1', 'orp1']",1481.8682256111103,1331.8682256111103,True,2017-06-12 14:00:01,"{'tm1': {'consum': 20, 'ideal_interval': 1, 'last_used_time': '2017-06-12T14:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'ec1': {'consum': 20, 'ideal_interval': 2, 'last_used_time': '2017-06-12T14:00:00', 'time_gap': 1.0, 'priority': 0.5}, 'ph1': {'consum': 40, 'ideal_interval': 1, 'last_used_time': '2017-06-12T14:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'orp1': {'consum': 40, 'ideal_interval': 2, 'last_used_time': '2017-06-12T14:00:00', 'time_gap': 1.0, 'priority': 0.5}}",[]
ES-Adap,2017-06-12 16:00:00,"['tm1', 'ec1', 'ph1', 'orp1']",1459.573203388888,1309.573203388888,True,2017-06-12 16:00:01,"{'tm1': {'consum': 20, 'ideal_interval': 1, 'last_used_time': '2017-06-12T16:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'ec1': {'consum': 20, 'ideal_interval': 2, 'last_used_time': '2017-06-12T16:00:00', 'time_gap': 1.0, 'priority': 0.5}, 'ph1': {'consum': 40, 'ideal_interval': 1, 'last_used_time': '2017-06-12T16:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'orp1': {'consum': 40, 'ideal_interval': 2, 'last_used_time': '2017-06-12T16:00:00', 'time_gap': 1.0, 'priority': 0.5}}",[]
ES-Adap,2017-06-12 18:00:00,"['tm1', 'ec1', 'ph1', 'orp1']",1350.4856661666656,1200.4856661666656,True,2017-06-12 18:00:01,"{'tm1': {'consum': 20, 'ideal_interval': 1, 'last_used_time': '2017-06-12T18:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'ec1': {'consum': 20, 'ideal_interval': 2, 'last_used_time': '2017-06-12T18:00:00', 'time_gap': 1.0, 'priority': 0.5}, 'ph1': {'consum': 40, 'ideal_interval': 1, 'last_used_time': '2017-06-12T18:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'orp1': {'consum': 40, 'ideal_interval': 2, 'last_used_time': '2017-06-12T18:00:00', 'time_gap': 1.0, 'priority': 0.5}}",[]
